epoch,duration,loss,accuracy,tp,tn,fp,fn,precision,recall,auc,val_loss,val_accuracy,val_tp,val_tn,val_fp,val_fn,val_prosision,val_recall,val_auc
58, 387s 135ms/step ,0.9395,0.7289,59221,13399627,12212,32016,0.829,0.6491,0.9859,19.5408,0.033,250,1663743,5883,11108,0.0408,0.022,0.5722
59, 401s 140ms/step ,0.9155,0.7359,59971,13399717,12122,31266,0.8319,0.6573,0.9863,20.2006,0.0341,261,1663485,6141,11097,0.0408,0.023,0.5703
60, 396s 139ms/step ,0.9247,0.7357,60010,13399710,12129,31227,0.8319,0.6577,0.9856,19.5443,0.0342,243,1663750,5876,11115,0.0397,0.0214,0.5731
61, 407s 143ms/step ,0.8793,0.7473,61526,13400202,11637,29711,0.8409,0.6744,0.9871,21.6328,0.0356,268,1663107,6519,11090,0.0395,0.0236,0.5651
62, 401s 141ms/step ,0.8868,0.7467,61524,13399876,11963,29713,0.8372,0.6743,0.9868,20.0801,0.0341,262,1663566,6060,11096,0.0414,0.0231,0.5708
63, 402s 141ms/step ,0.867,0.7534,62260,13400273,11566,28977,0.8433,0.6824,0.9868,20.5052,0.0308,243,1663347,6279,11115,0.0373,0.0214,0.5694
64, 409s 143ms/step ,0.8418,0.7585,62877,13400281,11558,28360,0.8447,0.6892,0.9876,20.786,0.0357,262,1663276,6350,11096,0.0396,0.0231,0.57
65, 405s 141ms/step ,0.8581,0.757,62629,13400168,11671,28608,0.8429,0.6864,0.9868,21.0568,0.035,262,1663449,6177,11096,0.0407,0.0231,0.5693
66, 405s 142ms/step ,0.8454,0.7599,63355,13400115,11724,27882,0.8438,0.6944,0.987,21.1412,0.0299,236,1663111,6515,11122,0.035,0.0208,0.5669
67, 400s 140ms/step ,0.8234,0.764,63876,13400239,11600,27361,0.8463,0.7001,0.9874,21.0102,0.034,273,1663171,6455,11085,0.0406,0.024,0.5669
68, 392s 137ms/step ,0.8236,0.7649,63916,13400401,11438,27321,0.8482,0.7005,0.9877,22.2224,0.0311,247,1662909,6717,11111,0.0355,0.0217,0.5661
69, 402s 140ms/step ,0.7974,0.7729,64918,13400446,11393,26319,0.8507,0.7115,0.9879,22.9822,0.0327,251,1662904,6722,11107,0.036,0.0221,0.5642
70, 397s 139ms/step ,0.8032,0.7712,64914,13400344,11495,26323,0.8496,0.7115,0.9876,22.7625,0.0328,265,1662881,6745,11093,0.0378,0.0233,0.5639
71, 394s 138ms/step ,0.8021,0.773,65065,13400347,11492,26172,0.8499,0.7131,0.9878,24.4763,0.0338,282,1662628,6998,11076,0.0387,0.0248,0.5592
72, 405s 142ms/step ,0.7738,0.7806,65982,13400661,11178,25255,0.8551,0.7232,0.9881,22.2699,0.0328,271,1662973,6653,11087,0.0391,0.0239,0.5653
73, 402s 141ms/step ,0.7577,0.7845,66409,13400758,11081,24828,0.857,0.7279,0.9886,23.6678,0.0361,289,1662767,6859,11069,0.0404,0.0254,0.5651
74, 395s 138ms/step ,0.7705,0.782,66204,13400625,11214,25033,0.8551,0.7256,0.9884,24.0575,0.0346,293,1662591,7035,11065,0.04,0.0258,0.5636
75, 389s 136ms/step ,0.7605,0.7885,66806,13400901,10938,24431,0.8593,0.7322,0.9884,23.988,0.0344,291,1662520,7106,11067,0.0393,0.0256,0.5621
76, 388s 136ms/step ,0.7753,0.7837,66469,13400577,11262,24768,0.8551,0.7285,0.9878,22.2671,0.0332,265,1662950,6676,11093,0.0382,0.0233,0.563
77, 397s 139ms/step ,0.7476,0.7891,67060,13400869,10970,24177,0.8594,0.735,0.9886,22.3838,0.0336,253,1663176,6450,11105,0.0377,0.0223,0.5642
78, 382s 134ms/step ,0.7619,0.7891,67027,13400660,11179,24210,0.8571,0.7346,0.9879,22.4743,0.0328,261,1662870,6756,11097,0.0372,0.023,0.5617
79, 388s 136ms/step ,0.7405,0.793,67518,13401019,10820,23719,0.8619,0.74,0.9884,23.6187,0.0328,269,1662553,7073,11089,0.0366,0.0237,0.561
80, 396s 139ms/step ,0.6991,0.8011,68742,13401134,10705,22495,0.8653,0.7534,0.9893,26.0055,0.0323,281,1662267,7359,11077,0.0368,0.0247,0.5583
81, 386s 135ms/step ,0.7262,0.7946,67929,13400830,11009,23308,0.8605,0.7445,0.9886,24.0796,0.0337,282,1662523,7103,11076,0.0382,0.0248,0.5614
82, 390s 137ms/step ,0.7137,0.7984,68350,13401032,10807,22887,0.8635,0.7491,0.9888,23.922,0.0351,285,1662513,7113,11073,0.0385,0.0251,0.5636
83, 401s 140ms/step ,0.6983,0.8029,68988,13401125,10714,22249,0.8656,0.7561,0.9891,25.0631,0.0336,296,1662302,7324,11062,0.0388,0.0261,0.5609
84, 399s 140ms/step ,0.6952,0.8064,69322,13401388,10451,21915,0.869,0.7598,0.9891,25.2457,0.0318,262,1662323,7303,11096,0.0346,0.0231,0.5591
85, 397s 139ms/step ,0.6824,0.8058,69316,13401145,10694,21921,0.8663,0.7597,0.9893,25.9756,0.034,297,1662107,7519,11061,0.038,0.0261,0.5584
86, 390s 137ms/step ,0.6803,0.8105,69823,13401385,10454,21414,0.8698,0.7653,0.9893,25.5548,0.0322,274,1662116,7510,11084,0.0352,0.0241,0.558
87, 389s 136ms/step ,0.6896,0.809,69711,13401282,10557,21526,0.8685,0.7641,0.9893,27.0716,0.0334,299,1662090,7536,11059,0.0382,0.0263,0.5554
88, 406s 142ms/step ,0.7074,0.8049,69217,13401128,10711,22020,0.866,0.7587,0.9887,26.1423,0.0347,295,1662228,7398,11063,0.0383,0.026,0.557
89, 385s 135ms/step ,0.6574,0.8164,70559,13401568,10271,20678,0.8729,0.7734,0.9896,25.6478,0.0326,276,1662381,7245,11082,0.0367,0.0243,0.5602
90, 382s 134ms/step ,0.7118,0.8076,69495,13401381,10458,21742,0.8692,0.7617,0.9885,25.7705,0.0329,289,1662114,7512,11069,0.037,0.0254,0.556
91, 394s 138ms/step ,0.6377,0.8193,70983,13401740,10099,20254,0.8754,0.778,0.99,25.6095,0.034,276,1662299,7327,11082,0.0363,0.0243,0.5585
92, 394s 138ms/step ,0.6786,0.8144,70421,13401406,10433,20816,0.871,0.7718,0.9888,26.9916,0.0335,295,1662010,7616,11063,0.0373,0.026,0.5552
93, 391s 137ms/step ,0.6783,0.8162,70526,13401479,10360,20711,0.8719,0.773,0.989,26.6697,0.0361,309,1661937,7689,11049,0.0386,0.0272,0.5568
94, 384s 135ms/step ,0.6412,0.8215,71261,13401655,10184,19976,0.875,0.7811,0.9898,25.8866,0.0338,286,1662322,7304,11072,0.0377,0.0252,0.558
95, 382s 134ms/step ,0.6911,0.8121,70096,13401205,10634,21141,0.8683,0.7683,0.988,24.0592,0.0335,288,1662497,7129,11070,0.0388,0.0254,0.5605
96, 390s 137ms/step ,0.648,0.8227,71396,13401887,9952,19841,0.8777,0.7825,0.9895,27.7342,0.0338,308,1661844,7782,11050,0.0381,0.0271,0.5561
97, 395s 139ms/step ,0.6056,0.8304,72307,13402038,9801,18930,0.8806,0.7925,0.9904,25.3758,0.034,279,1662335,7291,11079,0.0369,0.0246,0.56
98, 394s 138ms/step ,0.6287,0.8254,71788,13401805,10034,19449,0.8774,0.7868,0.9898,27.149,0.0326,288,1662070,7556,11070,0.0367,0.0254,0.5584
99, 399s 140ms/step ,0.6484,0.8227,71456,13401617,10222,19781,0.8749,0.7832,0.9891,27.52,0.0335,291,1661837,7789,11067,0.036,0.0256,0.5556
100, 392s 137ms/step ,0.6407,0.8264,71878,13401869,9970,19359,0.8782,0.7878,0.9896,27.9616,0.0338,301,1661961,7665,11057,0.0378,0.0265,0.5551
